fast,decision,failedcomp,decision_time,intime,round,gender,age,ed,pgg,mturk
1,1,1,4.104,1,1,0,20,l1,1,1
1,1,1,4.846,1,1,0,32,l1,0,1
1,0.25,0,5.144,1,1,0,21,l1,0,1
1,0,1,5.745,1,1,1,70,l1,0,0
0,0.45,1,6,0,1,0,20,l1,1,1
1,0,0,6,1,1,0,34,l1,0,1
1,1,0,6,1,1,0,30,l1,1,1
1,0.05,1,6,1,1,1,31,l1,1,1
1,0,0,6,1,1,1,29,l1,1,1
1,1,1,6.143,1,1,0,23,l1,0,1
1,0.25,1,6.705,1,1,1,18,l1,0,1
0,0.35,1,7,0,1,0,30,l1,1,1
1,1,0,7,1,1,0,16,l1,0,1
1,1,1,7,1,1,0,30,l1,1,1
1,1,0,7,1,1,0,30,l1,1,1
1,0,0,7.184,1,1,0,30,l1,0,1
1,1,0,8,1,1,0,18,l1,1,1
0,0.5,0,8,0,1,1,18,l1,1,1
1,1,0,8,1,1,0,18,l1,1,1
1,0.85,1,8,1,1,1,18,l1,1,1
1,0,0,8,1,1,0,18,l1,1,1
1,0,1,8,1,1,0,27,l1,1,1
1,0,0,8,1,1,0,18,l1,1,1
1,0.75,0,9,1,1,0,18,l1,1,1
0,0.5,0,9,0,1,0,27,l1,0,1
1,0.75,1,10,1,1,0,23,l1,1,1
1,0.85,0,10,1,1,0,17,l1,1,1
1,0.75,1,10,1,1,1,28,l1,1,1
0,0,1,10.094,1,1,1,49,l1,1,1
0,0,0,10.91,1,1,1,23,l1,1,1
1,0.7,0,11,0,1,1,60,l1,1,1
1,0.5,0,11,0,1,0,21,l1,1,1
1,1,0,11,0,1,0,23,l1,1,1
1,0.3,1,11.065,0,1,0,43,l1,0,0
0,0.5,0,11.157,1,1,0,22,l1,0,1
0,1,1,11.283,1,1,0,71,l1,0,1
1,1,1,12,0,1,0,30,l1,1,1
1,0.5,1,12.124,0,1,0,33,l1,0,1
0,0.75,0,12.883,1,1,0,20,l1,1,1
0,0,0,12.998,1,1,1,31,l1,1,1
1,0.45,1,13,0,1,1,18,l1,1,1
1,0.25,0,13,0,1,0,20,l1,1,1
1,0.5,0,13,0,1,0,20,l1,1,1
0,1,1,13.978,1,1,0,32,l1,0,1
0,1,1,14.048,1,1,1,24,l1,1,1
0,1,0,14.199,1,1,1,23,l1,1,1
0,0,0,14.403,1,1,0,22,l1,1,1
0,0,0,14.406,1,1,1,18,l1,1,1
1,0,1,15.382,0,1,0,47,l1,0,0
0,1,0,15.624,1,1,0,18,l1,1,1
0,0.5,0,16.333,1,1,1,21,l1,1,1
0,0.25,0,16.503,1,1,0,18,l1,0,1
0,0.5,0,17,1,1,1,27,l1,1,1
0,0.5,0,17,1,1,1,18,l1,1,1
0,1,0,17.305,1,1,1,65,l1,0,1
1,0,0,18,0,1,0,59,l1,1,1
1,0.85,1,19,0,1,1,30,l1,1,1
0,0.7,1,19,1,1,1,52,l1,1,1
0,0.5,0,19,1,1,0,26,l1,1,1
0,0.5,0,19.116,1,1,0,19,l1,1,1
0,0.5,1,20,1,1,1,30,l1,1,1
1,1,0,20,0,1,0,25,l1,1,1
0,1,0,22,1,1,1,18,l1,1,1
1,0.55,1,22,0,1,0,20,l1,0,1
0,1,0,26,1,1,0,26,l1,1,1
0,0.9,0,27,1,1,1,18,l1,1,1
0,0.25,1,29,1,1,1,21,l1,1,1
0,0.25,1,29.18,1,1,1,55,l1,1,1
0,1,0,30,1,1,0,19,l1,1,1
0,0.55,0,34,1,1,0,20,l1,1,1
0,1,0,37,1,1,1,23,l1,1,1
0,1,0,39,1,1,0,38,l1,1,1
1,1,1,45,0,1,0,30,l1,1,1
0,0.3,1,48,1,1,0,42,l1,1,1
0,1,1,48,1,1,0,35,l1,1,1
0,1,0,48,1,1,0,37,l1,1,1
0,0,1,55,1,1,0,22,l1,1,1
1,0,1,62,0,1,0,23,l1,0,1
0,0,0,,,1,0,18,l1,1,1
1,0.25,1,1.802,1,1,0,21,l1,0,1
0,0,0,2,0,1,0,25,l1,0,1
1,1,1,2.792,1,1,0,29,l1,0,1
1,0.5,1,2.883,1,1,1,24,l1,0,1
1,0.15,1,3,1,1,0,29,l1,1,1
0,0.4,1,3,0,1,1,33,l1,1,1
1,1,1,3,1,1,0,20,l1,0,1
0,0.6,0,3,0,1,0,22,l1,1,1
1,1,1,3,1,1,0,18,l1,1,1
0,1,0,3,0,1,1,25,l1,1,1
1,0,0,3,1,1,0,19,l1,1,1
0,0.6,1,3,0,1,0,26,l1,1,1
0,0.85,1,3,0,1,0,20,l1,1,1
1,0,0,3,1,1,0,18,l1,1,1
1,1,0,3,1,1,0,63,l1,1,1
0,0.5,0,3.097,0,1,0,18,l1,1,1
0,1,0,3.21,0,1,0,20,l1,1,1
