study,fast,decision,failedcomp,decision_time,intime,ip,date,date_numerical,round,gender,age,ed,india,otherNonUS,pgg,mturk
F,1,0,0,1,1,201,4/3/2012 15:00,405.0285,9,0,19,5,0,0,1,0
F,1,0.075,0,1,1,202,4/3/2012 15:00,405.0285,12,0,19,5,0,0,1,0
F,1,0,0,1,1,205,4/3/2012 15:00,405.0285,4,0,21,5,0,0,1,0
F,1,0,0,1,1,205,4/3/2012 15:00,405.0285,7,0,21,5,0,0,1,0
F,1,0,0,1,1,206,4/3/2012 15:00,405.0285,7,0,19,5,0,0,1,0
F,1,0,0,1,1,206,4/3/2012 15:00,405.0285,10,0,19,5,0,0,1,0
F,1,0,0,1,1,206,4/3/2012 15:00,405.0285,12,0,19,5,0,0,1,0
F,1,0.075,0,1,1,206,4/3/2012 15:00,405.0285,15,0,19,5,0,0,1,0
F,1,0,0,1,1,207,4/3/2012 15:00,405.0285,6,0,19,5,0,0,1,0
F,1,0,0,1,1,210,4/3/2012 15:00,405.0285,10,0,19,5,0,0,1,0
F,1,0.025,0,1,1,210,4/3/2012 15:00,405.0285,15,0,19,5,0,0,1,0
F,1,0,0,1,1,212,4/3/2012 15:00,405.0285,13,1,20,5,0,0,1,0
F,1,0,0,1,1,216,4/3/2012 15:00,405.0285,4,0,21,5,0,0,1,0
F,1,0,0,1,1,216,4/3/2012 15:00,405.0285,5,0,21,5,0,0,1,0
F,1,0,0,1,1,216,4/3/2012 15:00,405.0285,6,0,21,5,0,0,1,0
F,1,0,0,1,1,216,4/3/2012 15:00,405.0285,7,0,21,5,0,0,1,0
F,1,0,0,1,1,216,4/3/2012 15:00,405.0285,8,0,21,5,0,0,1,0
F,1,0,0,1,1,216,4/3/2012 15:00,405.0285,9,0,21,5,0,0,1,0
F,1,0,0,1,1,216,4/3/2012 15:00,405.0285,10,0,21,5,0,0,1,0
F,1,0,0,1,1,216,4/3/2012 15:00,405.0285,11,0,21,5,0,0,1,0
F,1,0,0,1,1,216,4/3/2012 15:00,405.0285,12,0,21,5,0,0,1,0
F,1,0,0,1,1,216,4/3/2012 15:00,405.0285,14,0,21,5,0,0,1,0
F,1,0,0,1,1,218,4/3/2012 15:00,405.0285,6,0,25,5,0,0,1,0
F,1,0,0,1,1,218,4/3/2012 15:00,405.0285,9,0,25,5,0,0,1,0
F,1,0,0,1,1,218,4/3/2012 15:00,405.0285,11,0,25,5,0,0,1,0
F,1,0,0,1,1,218,4/3/2012 15:00,405.0285,12,0,25,5,0,0,1,0
F,1,0,0,1,1,218,4/3/2012 15:00,405.0285,14,0,25,5,0,0,1,0
F,1,0,0,1,1,218,4/3/2012 15:00,405.0285,15,0,25,5,0,0,1,0
F,1,0,0,1,1,219,4/3/2012 15:00,405.0285,10,1,21,5,0,0,1,0
F,1,0,0,1,1,219,4/3/2012 15:00,405.0285,12,1,21,5,0,0,1,0
F,1,0,0,1,1,219,4/3/2012 15:00,405.0285,13,1,21,5,0,0,1,0
F,1,0,0,1,1,219,4/3/2012 15:00,405.0285,15,1,21,5,0,0,1,0
F,1,1,0,1,1,221,4/3/2012 15:00,405.0285,5,0,21,5,0,0,1,0
F,1,0,0,1,1,221,4/3/2012 15:00,405.0285,7,0,21,5,0,0,1,0
F,1,0,0,1,1,221,4/3/2012 15:00,405.0285,9,0,21,5,0,0,1,0
F,1,0,0,1,1,221,4/3/2012 15:00,405.0285,11,0,21,5,0,0,1,0
F,1,0,0,1,1,221,4/3/2012 15:00,405.0285,12,0,21,5,0,0,1,0
F,1,0,0,1,1,221,4/3/2012 15:00,405.0285,13,0,21,5,0,0,1,0
F,1,0,0,1,1,221,4/3/2012 15:00,405.0285,14,0,21,5,0,0,1,0
F,1,0,0,1,1,221,4/3/2012 15:00,405.0285,15,0,21,5,0,0,1,0
F,1,0,0,1,1,224,4/3/2012 15:00,405.0285,15,1,20,5,0,0,1,0
F,1,0.25,0,1,1,225,4/3/2012 15:00,405.0285,8,1,21,5,0,0,1,0
F,1,0,0,1,1,225,4/3/2012 15:00,405.0285,12,1,21,5,0,0,1,0
F,1,0,0,1,1,226,4/3/2012 15:00,405.0285,10,1,19,5,0,0,1,0
F,1,0.25,0,1,1,228,4/3/2012 15:00,405.0285,7,1,21,5,0,0,1,0
F,1,0,0,1,1,228,4/3/2012 15:00,405.0285,8,1,21,5,0,0,1,0
F,1,0,0,1,1,228,4/3/2012 15:00,405.0285,9,1,21,5,0,0,1,0
F,1,0,0,1,1,228,4/3/2012 15:00,405.0285,10,1,21,5,0,0,1,0
F,1,0,0,1,1,228,4/3/2012 15:00,405.0285,11,1,21,5,0,0,1,0
F,1,0,0,1,1,228,4/3/2012 15:00,405.0285,12,1,21,5,0,0,1,0
F,1,0,0,1,1,228,4/3/2012 15:00,405.0285,13,1,21,5,0,0,1,0
F,1,0.25,0,1,1,228,4/3/2012 15:00,405.0285,14,1,21,5,0,0,1,0
F,1,0,0,2,1,201,4/3/2012 15:00,405.0285,5,0,19,5,0,0,1,0
F,1,0,0,2,1,201,4/3/2012 15:00,405.0285,6,0,19,5,0,0,1,0
F,1,0,0,2,1,201,4/3/2012 15:00,405.0285,8,0,19,5,0,0,1,0
F,1,0,0,2,1,201,4/3/2012 15:00,405.0285,10,0,19,5,0,0,1,0
F,1,0,0,2,1,201,4/3/2012 15:00,405.0285,11,0,19,5,0,0,1,0
F,1,0,0,2,1,201,4/3/2012 15:00,405.0285,12,0,19,5,0,0,1,0
F,1,0,0,2,1,201,4/3/2012 15:00,405.0285,13,0,19,5,0,0,1,0
F,1,0,0,2,1,201,4/3/2012 15:00,405.0285,14,0,19,5,0,0,1,0
F,1,0,0,2,1,201,4/3/2012 15:00,405.0285,15,0,19,5,0,0,1,0
F,1,0.125,0,2,1,202,4/3/2012 15:00,405.0285,6,0,19,5,0,0,1,0
F,1,0.5,0,2,1,202,4/3/2012 15:00,405.0285,8,0,19,5,0,0,1,0
F,1,0,0,2,1,202,4/3/2012 15:00,405.0285,10,0,19,5,0,0,1,0
F,1,0.025,0,2,1,202,4/3/2012 15:00,405.0285,14,0,19,5,0,0,1,0
